,Unnamed: 0,id,source,prompt,completion,completion_type,chaaben_completion,new_node_gt,anchor_node_gt,completion_string,simplified_gt_association,simplified_gen_association,simplified_concept_ranked,same_association,same_concept,class_names_gt,names_gt,class_names_gen,names_gen,same_class,same_name,simplified_correct
68,68,68,experiment_samples/modeling.emft.edapt!!plugins_org.eclipse.emf.edapt.declaration_model_declaration.ecore/test_samples.jsonl,"['EAttribute.breaking','EAnnotation.breaking'],['EClass.Operation','EAttribute.breaking']"," 1 2 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_ZqYZO96tEei97MD7GK1RmA', 'key':'documentation','value':'Whether this operation may cause existing models to need migration. '}}""

$$",['Add_node'],"['EAnnotation.breaking','EStringToStringMapEntry.documentation']",EStringToStringMapEntry.documentation,EAnnotation.breaking,"[""['EAttribute.breaking', 'EArchetype.breaking'],['EAnnotation.breaking', 'E"", ""['EClass.Operation', 'EAttribute.strengthening'].\n[['EClass(Operation)'],"", ""['EAttribute.delete', 'EAnnotation.delete'], ['EAttribute.hide', 'EAnnotation.hide'],""]","['EAnnotation.breaking','EStringToStringMapEntry.documentation']","['EAttribute.breaking','EArchetype.breaking']",EAttribute.breaking,False,False,EStringToStringMapEntry,documentation,EAttribute,breaking,False,False,False
69,69,69,experiment_samples/technology.stem!!core_org.eclipse.stem.core_model_graph.ecore/test_samples.jsonl,," 0 2 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'eOpposite'}"" _ ""{'changeType': 'Preserve', 'type': 'object', 'className': 'EReference', 'attributes': {'id': '_XMyS0960Eei97MD7GK1RmA', 'name':'labelsToUpdate','ordered':'true','unique':'true','lowerBound':'0','upperBound':'-1','many':'true','required':'false','eType':'DynamicLabel','eGenericType':'org.eclipse.emf.ecore.impl.EGenericTypeImpl@7e70c48a (expression: DynamicLabel)','changeable':'true','volatile':'false','transient':'true','unsettable':'false','derived':'false','eContainingClass':'Decorator','containment':'false','container':'false','resolveProxies':'false','eOpposite':'decorator','eReferenceType':'DynamicLabel'}}""

$$",['Add_edge'],,,,,,,,,,,,,,,,
70,70,70,experiment_samples/technology.stem!!core_org.eclipse.stem.core_model_graph.ecore/test_samples.jsonl,," 0 2 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'eOpposite'}"" _ ""{'changeType': 'Preserve', 'type': 'object', 'className': 'EReference', 'attributes': {'id': '_XMyS0960Eei97MD7GK1RmA', 'name':'labelsToUpdate','ordered':'true','unique':'true','lowerBound':'0','upperBound':'-1','many':'true','required':'false','eType':'DynamicLabel','eGenericType':'org.eclipse.emf.ecore.impl.EGenericTypeImpl@486e96ec (expression: DynamicLabel)','changeable':'true','volatile':'false','transient':'false','unsettable':'false','derived':'false','eContainingClass':'Decorator','containment':'false','container':'false','resolveProxies':'true','eOpposite':'decorator','eReferenceType':'DynamicLabel'}}""

$$",['Add_edge'],,,,,,,,,,,,,,,,
71,71,71,experiment_samples/technology.stem!!core_org.eclipse.stem.core_model_graph.ecore/test_samples.jsonl,," 0 2 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'eOpposite'}"" _ ""{'changeType': 'Preserve', 'type': 'object', 'className': 'EReference', 'attributes': {'id': '_XMyS0960Eei97MD7GK1RmA', 'name':'labelsToUpdate','ordered':'true','unique':'true','lowerBound':'0','upperBound':'-1','many':'true','required':'false','eType':'DynamicLabel','eGenericType':'org.eclipse.emf.ecore.impl.EGenericTypeImpl@453fdb8c (expression: DynamicLabel)','changeable':'true','volatile':'false','transient':'true','unsettable':'false','derived':'false','eContainingClass':'Decorator','containment':'false','container':'false','resolveProxies':'false','eOpposite':'decorator','eReferenceType':'DynamicLabel'}}""

$$",['Add_edge'],,,,,,,,,,,,,,,,
72,72,72,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,," 0 2 ""{'changeType': 'Change', 'type': 'attribute'}"" _ ""{'changeType': 'Change', 'type': 'attributeValue', 'className': 'EAttribute', 'attributeName': 'defaultValueLiteral', 'valueBefore': 'null', 'valueAfter': 'true'}""

$$",['Change_attribute'],,,,,,,,,,,,,,,,
73,73,73,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,," 2 0 ""{'changeType': 'Change', 'type': 'attribute'}"" _ ""{'changeType': 'Change', 'type': 'attributeValue', 'className': 'EAttribute', 'attributeName': 'unsettable', 'valueBefore': 'true', 'valueAfter': 'false'}""

$$",['Change_attribute'],,,,,,,,,,,,,,,,
74,74,74,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,," 1 2 ""{'changeType': 'Change', 'type': 'attribute'}"" _ ""{'changeType': 'Change', 'type': 'attributeValue', 'className': 'EReference', 'attributeName': 'resolveProxies', 'valueBefore': 'false', 'valueAfter': 'true'}""

$$",['Change_attribute'],,,,,,,,,,,,,,,,
75,75,75,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,," 2 1 ""{'changeType': 'Change', 'type': 'attribute'}"" _ ""{'changeType': 'Change', 'type': 'attributeValue', 'className': 'EReference', 'attributeName': 'resolveProxies', 'valueBefore': 'false', 'valueAfter': 'true'}""

$$",['Change_attribute'],,,,,,,,,,,,,,,,
76,76,76,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,," 0 2 ""{'changeType': 'Change', 'type': 'attribute'}"" _ ""{'changeType': 'Change', 'type': 'attributeValue', 'className': 'EReference', 'attributeName': 'transient', 'valueBefore': 'true', 'valueAfter': 'false'}""

$$",['Change_attribute'],,,,,,,,,,,,,,,,
77,77,77,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,," 0 2 ""{'changeType': 'Change', 'type': 'attribute'}"" _ ""{'changeType': 'Change', 'type': 'attributeValue', 'className': 'EReference', 'attributeName': 'derived', 'valueBefore': 'false', 'valueAfter': 'true'}""

$$",['Change_attribute'],,,,,,,,,,,,,,,,
78,78,78,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,," 1 0 ""{'changeType': 'Change', 'type': 'attribute'}"" _ ""{'changeType': 'Change', 'type': 'attributeValue', 'className': 'EReference', 'attributeName': 'transient', 'valueBefore': 'true', 'valueAfter': 'false'}""

$$",['Change_attribute'],,,,,,,,,,,,,,,,
79,79,79,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,," 0 1 ""{'changeType': 'Change', 'type': 'attribute'}"" _ ""{'changeType': 'Change', 'type': 'attributeValue', 'className': 'EAttribute', 'attributeName': 'unsettable', 'valueBefore': 'true', 'valueAfter': 'false'}""

$$",['Change_attribute'],,,,,,,,,,,,,,,,
80,80,80,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,," 1 2 ""{'changeType': 'Change', 'type': 'attribute'}"" _ ""{'changeType': 'Change', 'type': 'attributeValue', 'className': 'EReference', 'attributeName': 'derived', 'valueBefore': 'false', 'valueAfter': 'true'}""

$$",['Change_attribute'],,,,,,,,,,,,,,,,
81,81,81,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,," 1 2 ""{'changeType': 'Change', 'type': 'attribute'}"" _ ""{'changeType': 'Change', 'type': 'attributeValue', 'className': 'EAttribute', 'attributeName': 'defaultValueLiteral', 'valueBefore': 'null', 'valueAfter': 'seq'}""

$$",['Change_attribute'],,,,,,,,,,,,,,,,
82,82,82,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,," 0 2 ""{'changeType': 'Change', 'type': 'attribute'}"" _ ""{'changeType': 'Change', 'type': 'attributeValue', 'className': 'EReference', 'attributeName': 'transient', 'valueBefore': 'true', 'valueAfter': 'false'}""

$$",['Change_attribute'],,,,,,,,,,,,,,,,
83,83,83,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,," 1 0 ""{'changeType': 'Change', 'type': 'attribute'}"" _ ""{'changeType': 'Change', 'type': 'attributeValue', 'className': 'EReference', 'attributeName': 'resolveProxies', 'valueBefore': 'false', 'valueAfter': 'true'}""

$$",['Change_attribute'],,,,,,,,,,,,,,,,
84,84,84,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,," 0 1 ""{'changeType': 'Change', 'type': 'attribute'}"" _ ""{'changeType': 'Change', 'type': 'attributeValue', 'className': 'EReference', 'attributeName': 'transient', 'valueBefore': 'true', 'valueAfter': 'false'}""

$$",['Change_attribute'],,,,,,,,,,,,,,,,
85,85,85,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,," 1 0 ""{'changeType': 'Change', 'type': 'attribute'}"" _ ""{'changeType': 'Change', 'type': 'attributeValue', 'className': 'EAttribute', 'attributeName': 'defaultValueLiteral', 'valueBefore': 'null', 'valueAfter': 'iterative'}""

$$",['Change_attribute'],,,,,,,,,,,,,,,,
86,86,86,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,," 2 1 ""{'changeType': 'Change', 'type': 'attribute'}"" _ ""{'changeType': 'Change', 'type': 'attributeValue', 'className': 'EReference', 'attributeName': 'transient', 'valueBefore': 'true', 'valueAfter': 'false'}""

$$",['Change_attribute'],,,,,,,,,,,,,,,,
87,87,87,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,," 0 2 ""{'changeType': 'Change', 'type': 'attribute'}"" _ ""{'changeType': 'Change', 'type': 'attributeValue', 'className': 'EParameter', 'attributeName': 'unique', 'valueBefore': 'true', 'valueAfter': 'false'}""

$$",['Change_attribute'],,,,,,,,,,,,,,,,
88,88,88,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,," 0 2 ""{'changeType': 'Change', 'type': 'attribute'}"" _ ""{'changeType': 'Change', 'type': 'attributeValue', 'className': 'EReference', 'attributeName': 'resolveProxies', 'valueBefore': 'false', 'valueAfter': 'true'}""

$$",['Change_attribute'],,,,,,,,,,,,,,,,
89,89,89,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,," 2 1 ""{'changeType': 'Change', 'type': 'attribute'}"" _ ""{'changeType': 'Change', 'type': 'attributeValue', 'className': 'EAttribute', 'attributeName': 'unsettable', 'valueBefore': 'false', 'valueAfter': 'true'}""

$$",['Change_attribute'],,,,,,,,,,,,,,,,
90,90,90,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,," 2 0 ""{'changeType': 'Change', 'type': 'attribute'}"" _ ""{'changeType': 'Change', 'type': 'attributeValue', 'className': 'EReference', 'attributeName': 'transient', 'valueBefore': 'true', 'valueAfter': 'false'}""

$$",['Change_attribute'],,,,,,,,,,,,,,,,
91,91,91,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,," 0 2 ""{'changeType': 'Change', 'type': 'attribute'}"" _ ""{'changeType': 'Change', 'type': 'attributeValue', 'className': 'EReference', 'attributeName': 'resolveProxies', 'valueBefore': 'false', 'valueAfter': 'true'}""

$$",['Change_attribute'],,,,,,,,,,,,,,,,
92,92,92,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,," 1 2 ""{'changeType': 'Change', 'type': 'attribute'}"" _ ""{'changeType': 'Change', 'type': 'attributeValue', 'className': 'EReference', 'attributeName': 'resolveProxies', 'valueBefore': 'false', 'valueAfter': 'true'}""

$$",['Change_attribute'],,,,,,,,,,,,,,,,
93,93,93,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,," 2 1 ""{'changeType': 'Change', 'type': 'attribute'}"" _ ""{'changeType': 'Change', 'type': 'attributeValue', 'className': 'EReference', 'attributeName': 'transient', 'valueBefore': 'true', 'valueAfter': 'false'}""

$$",['Change_attribute'],,,,,,,,,,,,,,,,
94,94,94,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,," 1 0 ""{'changeType': 'Change', 'type': 'attribute'}"" _ ""{'changeType': 'Change', 'type': 'attributeValue', 'className': 'EAttribute', 'attributeName': 'defaultValueLiteral', 'valueBefore': 'null', 'valueAfter': 'unknown'}""

$$",['Change_attribute'],,,,,,,,,,,,,,,,
95,95,95,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,," 0 2 ""{'changeType': 'Change', 'type': 'attribute'}"" _ ""{'changeType': 'Change', 'type': 'attributeValue', 'className': 'EAttribute', 'attributeName': 'unsettable', 'valueBefore': 'true', 'valueAfter': 'false'}""

$$",['Change_attribute'],,,,,,,,,,,,,,,,
96,96,96,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,," 2 3 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'eAnnotations'}"" _ _

$$",['Add_node'],,,,,,,,,,,,,,,,
97,97,97,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,," 4 3 ""{'changeType': 'Remove', 'type': 'reference', 'referenceTypeName': 'eAnnotations'}"" _ _

$$",['Remove_node'],,,,,,,,,,,,,,,,
98,98,98,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,," 3 1 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'eAnnotations'}"" _ _

$$",['Add_node'],,,,,,,,,,,,,,,,
99,99,99,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,," 1 4 ""{'changeType': 'Remove', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Remove', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_07R9ot6tEei97MD7GK1RmA', 'key':'documentation','value':'Provides input to the action.\\n<p>From package UML (URI {@literal http://www.omg.org/spec/UML/20110701}).</p>'}}""

$$",['Remove_node'],,,,,,,,,,,,,,,,
100,100,100,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,," 0 4 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_nsWuMt6tEei97MD7GK1RmA', 'key':'documentation','value':'Activity groups are a generic grouping construct for nodes and edges. Nodes and edges can belong to more than one group.\\n\\nThey have no inherent semantics and can be used for various purposes. Subclass'}}""

$$",['Add_node'],,,,,,x,x,False,False,,,x,,False,False,False
101,101,101,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,," 2 3 ""{'changeType': 'Remove', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Remove', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_ftgaGN6tEei97MD7GK1RmA', 'key':'documentation','value':'Redefines the corresponding property from Basic to derive this information from the return result for this Operation.\\r\\nSpecifies the upper multiplicity of the return parameter, if present.'}}""

$$",['Remove_node'],,,,,,,,,,,,,,,,
102,102,102,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,," 1 0 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'eAnnotations'}"" ""{'changeType': 'Preserve', 'type': 'object', 'className': 'EParameter', 'attributes': {'id': '_ftjeQN6tEei97MD7GK1RmA', 'eAnnotations':['org.eclipse.emf.ecore.impl.EAnnotationImpl@43b9d91f (source: http://www.eclipse.org/emf/2002/GenModel)'],'name':'diagnostics','ordered':'true','unique':'true','lowerBound':'0','upperBound':'1','many':'false','required':'false','eType':'EDiagnosticChain','eGenericType':'org.eclipse.emf.ecore.impl.EGenericTypeImpl@4d4d0393 (expression: EDiagnosticChain)','eOperation':'edges'}}"" _

$$",['Add_node'],,,,,,,,,,,,,,,,
103,103,103,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,," 3 4 ""{'changeType': 'Remove', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Remove', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_t2Ova96tEei97MD7GK1RmA', 'key':'suppressedVisibility','value':'true'}}""

$$",['Remove_node'],,,,,,,,,,,,,,,,
104,104,104,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,," 2 1 ""{'changeType': 'Remove', 'type': 'reference', 'referenceTypeName': 'eAnnotations'}"" _ _

$$",['Remove_node'],,,,,,,,,,,,,,,,
105,105,105,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,"['EAnnotation.type_and_ordering','EStringToStringMapEntry.documentation'],['EOperation.type_and_ordering','EAnnotation.type_and_ordering'],['EOperation.type_and_ordering','EAnnotation.type_and_ordering']"," 2 1 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_2Y__6t6tEei97MD7GK1RmA', 'key':'documentation','value':'The type and ordering of the result OutputPin are the same as the type and ordering of the variable.\\nresult.type =variable.type and \\nresult.isOrdered = variable.isOrdered'}}""

$$",['Add_node'],"['EAnnotation.type_and_ordering','EStringToStringMapEntry.documentation']",EStringToStringMapEntry.documentation,EAnnotation.type_and_ordering,"[""['EAnnotation.type_and_ordering', 'EStringToStringMapEntry.type']].\n[['EAnnotation"", ""['EAnnotation.type_and_ordering', 'EAnnotation.type_and_ordering']].\n['EAnnotation"", ""['EOperation.type_and_ordering',\n'EAnnotation.type_and_ordering'], ['EOperation.type_,"", ""['EAnnotation.type_and_ordering', 'EStringToStringMapEntry.content'], ['EAnnotation.type"", ""['EAnnotation.type_and_ordering', 'EStringToStringMapEntry.documentation']].\n[['Person',"", ""['EOperation.type_and_ordering', 'EAnnotation.type_and_ordering']].\n['EAnnotation"", ""['EAnnotation.type_and_ordering', 'EAnnotation.type_and_ordering']].\n[['NaturalPerson""]","['EAnnotation.type_and_ordering','EStringToStringMapEntry.documentation']","['EAnnotation.type_and_ordering','EAnnotation.type_and_ordering']",EAnnotation.type_and_ordering,False,False,EStringToStringMapEntry,documentation,EAnnotation,type_and_ordering,False,False,False
106,106,106,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,"['EAnnotation.ownedParameter','EStringToStringMapEntry.documentation'],['EReference.ownedParameter','EAnnotation.ownedParameter'],['EReference.ownedParameter','EAnnotation.ownedParameter']"," 2 4 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_wIGjjN6tEei97MD7GK1RmA', 'key':'documentation','value':'References a list of parameters to the behavior which describes the order and type of arguments that can be given when the behavior is invoked and of the values which will be returned when the behavio'}}""

$$",['Add_node'],"['EAnnotation.ownedParameter','EStringToStringMapEntry.documentation']",EStringToStringMapEntry.documentation,EAnnotation.ownedParameter,"[""['EAnnotation.ownAnnotation', 'EStringToStringMapEntry.documentation'], ['EAnnotation.own"", ""['EReference.ownedAnnotation', 'EAnnotation.ownedAnnotation']].\n['EAnnotation."", ""['EReference.ownElement', 'EAnnotation.ownElement']].\n['EReference"", ""['EAnnotation.ownedParameter', 'EAnnotation.ownedParameter']].\n['EAnnotation.owned"", ""['EAnnotation.ownedParameter', 'EAnnotation.ownedParameter']].\n['EAnnotation.owned"", ""['EReference.owningParameter', 'EAnnotation.owningParameter']].\n\nCreate reverse"", ""['EAnnotation.ownedParameter', 'EStringToStringMapEntry.text']].\n['EAnnotation.""]","['EAnnotation.ownedParameter','EStringToStringMapEntry.documentation']","['EAnnotation.ownedParameter','EAnnotation.ownedParameter']",EAnnotation.ownedParameter,False,False,EStringToStringMapEntry,documentation,EAnnotation,ownedParameter,False,False,False
107,107,107,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,," 2 0 ""{'changeType': 'Remove', 'type': 'reference', 'referenceTypeName': 'eAnnotations'}"" _ _

$$",['Remove_node'],,,,,,,,,,,,,,,,
108,108,108,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,," 2 0 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'eAnnotations'}"" ""{'changeType': 'Preserve', 'type': 'object', 'className': 'EParameter', 'attributes': {'id': '_ftjduN6tEei97MD7GK1RmA', 'eAnnotations':['org.eclipse.emf.ecore.impl.EAnnotationImpl@41a32adc (source: http://www.eclipse.org/emf/2002/GenModel)'],'name':'diagnostics','ordered':'true','unique':'true','lowerBound':'0','upperBound':'1','many':'false','required':'false','eType':'EDiagnosticChain','eGenericType':'org.eclipse.emf.ecore.impl.EGenericTypeImpl@39c213c1 (expression: EDiagnosticChain)','eOperation':'no_incoming_edges'}}"" _

$$",['Add_node'],,,,,,,,,,,,,,,,
109,109,109,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,," 4 3 ""{'changeType': 'Remove', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Remove', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_07Rf896tEei97MD7GK1RmA', 'key':'documentation','value':'A structural feature is a typed feature of a classifier that specifies the structure of instances of the classifier.\\nBy specializing multiplicity element, it supports a multiplicity that specifies val'}}""

$$",['Remove_node'],,,,,,,,,,,,,,,,
110,110,110,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,"['EAnnotation.multiplicity','EStringToStringMapEntry.documentation'],['EOperation.multiplicity','EAnnotation.multiplicity'],['EOperation.multiplicity','EAnnotation.multiplicity']"," 3 4 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_wIHKwd6tEei97MD7GK1RmA', 'key':'documentation','value':'The multiplicity of ExtensionEnd is 0..1 or 1.\\n(self->lowerBound() = 0 or self->lowerBound() = 1) and self->upperBound() = 1'}}""

$$",['Add_node'],"['EAnnotation.multiplicity','EStringToStringMapEntry.documentation']",EStringToStringMapEntry.documentation,EAnnotation.multiplicity,"[""['EmailAddress.multiplicity', 'EStringToStringMapEntry.documentation'],\n['EmailAddress.multip"", ""['EAnnotation.multiplicity', 'EAnnotation.multiplicity']].\n[['Car', 'Vehicle"", ""['EOperation', 'Annotation']].\n['EOperation.multiplicity', 'EAnnotation.multip"", ""['EAnnotation.multiplicity', 'EAnnotation.multiplicity.documentation']].\n['EAnnotation.m"", ""['EAnnotation.multiplicity', 'EStringToStringMapEntry.documentation']].\n['EAnnotation.m"", ""['EAnnotation.multiplicity', 'EAnnotation.multiplicity'].\n\nInput:\n\nThe input is"", ""['EAnnotation.multiplicity', 'EStringToStringMapEntry.example'].\n['EAnnotation.parameters""]","['EAnnotation.multiplicity','EStringToStringMapEntry.documentation']","['EAnnotation.multiplicity','EAnnotation.multiplicity']",EStringToStringMapEntry.documentation,False,True,EStringToStringMapEntry,documentation,EStringToStringMapEntry,documentation,True,True,False
111,111,111,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,," 2 3 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'eAnnotations'}"" _ _

$$",['Add_node'],,,,,,,,,,,,,,,,
112,112,112,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,," 3 1 ""{'changeType': 'Remove', 'type': 'reference', 'referenceTypeName': 'eAnnotations'}"" _ _

$$",['Remove_node'],,,,,,,,,,,,,,,,
113,113,113,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,," 2 1 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'eAnnotations'}"" _ _

$$",['Add_node'],,,,,,,,,,,,,,,,
114,114,114,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,," 1 2 ""{'changeType': 'Remove', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Remove', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_07RqDd6tEei97MD7GK1RmA', 'key':'documentation','value':'References the general classifier in the Generalization relationship.\\n<p>From package UML (URI {@literal http://www.omg.org/spec/UML/20110701}).</p>'}}""

$$",['Remove_node'],,,,,,,,,,,,,,,,
115,115,115,experiment_samples/modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore/test_samples.jsonl,"['EAnnotation.realizingClassifier','EStringToStringMapEntry.documentation'],['EReference.realizingClassifier','EAnnotation.realizingClassifier'],['EReference.realizingClassifier','EAnnotation.realizingClassifier']"," 2 4 ""{'changeType': 'Add', 'type': 'reference', 'referenceTypeName': 'details'}"" _ ""{'changeType': 'Add', 'type': 'object', 'className': 'EStringToStringMapEntry', 'attributes': {'id': '_0oCKXd6tEei97MD7GK1RmA', 'key':'documentation','value':'The classifiers that are involved in the implementation of the Component that owns this Realization.\\n<p>Merged from package UML (URI {@literal http://www.omg.org/spec/UML/20110701}).</p>'}}""

$$",['Add_node'],"['EAnnotation.realizingClassifier','EStringToStringMapEntry.documentation']",EStringToStringMapEntry.documentation,EAnnotation.realizingClassifier,"[""['EAnnotation.realizingClassifier', 'EAnnotation.realizingClassifier']].\n\nThere are 4 ways"", ""['EReference.realizingClassifier', 'EAnnotation.realizingClassifier']].\n[['Person', '"", ""['EAnnotation.realizingClassifier', 'EAnnotation.realizingClassifier']].\n['EAnnotation.realizing"", ""['EAnnotation.associatedClassifier', 'EStringToStringMapEntry.documentation']].\n['EAnnotation.real"", ""['EAnnotation.realizingClassifier', 'EStringToStringMapEntry.value'], ['EAnnotation.realizing"", ""['EReference.realizingClassifier', 'EAnnotation.realizingClassifier']].\n[['Family', '"", ""['EAnnotation.realizingClassifier', 'EAnnotation.realizingClassifier']].\n['EAnnotation.deprecated""]","['EAnnotation.realizingClassifier','EStringToStringMapEntry.documentation']","['EAnnotation.realizingClassifier','EAnnotation.realizingClassifier']",EAnnotation.realizingClassifier,False,False,EStringToStringMapEntry,documentation,EAnnotation,realizingClassifier,False,False,False
